n_reads	n_correct	genus_precision	genus_recall	genus_f1	k	mode
1887591	1130022	0.598658289851986	0.598658289851986	0.598658289851986	3	unweighted
1887591	1104378	0.5850727196728529	0.5850727196728529	0.5850727196728529	5	unweighted
1887591	1028778	0.5450216704784034	0.5450216704784034	0.5450216704784034	10	unweighted
1887591	1130028	0.5986614685066839	0.5986614685066839	0.5986614685066839	3	weighted
1887591	1103554	0.5846361844276646	0.5846361844276646	0.5846361844276646	5	weighted
1887591	1028527	0.5448886967568716	0.5448886967568716	0.5448886967568716	10	weighted
