genus	n_reads	kraken_recall	hybrid_recall	kraken_precision	hybrid_precision	delta_recall
Klebsiella	1161285	0.0	0.9178	0.0	0.9178	0.9178
Streptococcus	434927	0.0	0.9843	0.0	0.9843	0.9843
Escherichia	140979	0.0	0.3864	0.0	0.3864	0.3864
Pseudomonas	49043	0.0	0.451	0.0	0.451	0.451
Acinetobacter	36768	0.0	0.2891	0.0	0.2891	0.2891
Listeria	26387	0.0	0.4339	0.0	0.4339	0.4339
Salmonella	17263	0.0	0.1431	0.0	0.1431	0.1431
Mycobacterium	12321	0.0	0.9982	0.0	0.9982	0.9982
Staphylococcus	8618	0.0	0.5618	0.0	0.5618	0.5618
