genus	n_train_genomes	n_reference_fragments	mean_fragments_per_genome	median_fragments_per_genome	min_fragments_per_genome	max_fragments_per_genome	fraction_of_reference_fragments
Pseudomonas	11	588893	53535.72727272727	54108.0	50396	57542	0.16091115762321914
Streptococcus	33	547729	16597.848484848484	16832.0	14421	18748	0.14966336406411385
Klebsiella	10	441076	44107.6	43610.5	42803	47827	0.12052112991633285
Salmonella	11	424402	38582.0	38597.0	36884	40843	0.11596506855678272
Escherichia	10	408167	40816.7	41181.5	36177	43225	0.11152896107373748
Mycobacterium	11	388334	35303.09090909091	35292.0	34946	35531	0.10610972364157016
Acinetobacter	11	348514	31683.090909090908	31808.0	30798	32892	0.09522916928524977
Listeria	11	261862	23805.636363636364	23601.0	23318	24990	0.07155207746998421
Staphylococcus	11	250763	22796.636363636364	22924.0	22336	23134	0.06851934836900982
